iter	Passed	Remaining
399	62499	718742
400	62652	718553
401	62804	718351
402	62961	718200
403	63113	717997
404	63275	717898
405	63435	717787
406	63584	717553
407	63737	717361
408	63890	717169
409	64046	717003
410	64200	716825
411	64358	716689
412	64506	716444
413	64536	714895
414	64687	714685
415	64840	714495
416	64995	714325
417	65147	714132
418	65302	713963
419	65462	713848
420	65610	713616
421	65758	713366
422	65912	713194
423	66067	713026
424	66220	712841
425	66371	712636
426	66520	712412
427	66690	712408
428	66843	712218
429	66998	712052
430	67153	711890
431	67322	711871
432	67477	711710
433	67626	711477
434	67777	711274
435	67925	711038
436	68078	710851
437	68232	710676
438	68387	710513
439	68540	710330
440	68698	710194
441	68853	710033
442	69004	709827
443	69154	709612
444	69306	709422
445	69458	709224
446	69613	709055
447	69764	708859
448	69918	708679
449	70069	708476
450	70219	708269
451	70371	708078
452	70525	707898
453	70680	707737
454	70835	707579
455	70991	707428
456	71149	707288
457	71307	707159
458	71472	707091
459	71619	706855
460	71773	706676
461	71926	706495
462	72080	706331
463	72234	706154
464	72382	705921
465	72534	705728
466	72686	705545
467	72843	705399
468	73001	705262
469	73156	705106
470	73315	704977
471	73465	704766
472	73615	704556
473	73769	704387
474	73922	704211
475	74078	704053
476	74233	703891
477	74392	703768
478	74543	703573
479	74692	703356
480	74846	703185
481	75002	703027
482	75155	702853
483	75313	702717
484	75486	702724
485	75643	702583
486	75796	702406
487	75973	702443
488	76137	702366
489	76293	702210
490	76452	702081
491	76610	701949
492	76789	702009
493	76950	701900
494	77110	701782
495	77268	701644
496	77428	701532
497	77585	701384
498	77741	701233
499	77894	701052
500	78043	700831
501	78194	700638
502	78345	700441
503	78499	700269
504	78653	700093
505	78706	699022
506	78865	698896
507	79018	698719
508	79167	698506
509	79321	698337
510	79487	698272
511	79643	698122
512	79797	697953
513	79954	697812
514	80109	697651
515	80260	697454
516	80414	697292
517	80567	697108
518	80720	696937
519	80875	696774
520	81031	696622
521	81190	696494
522	81337	696266
523	81493	696116
524	81648	695953
525	81803	695795
526	81957	695631
527	82112	695464
528	82274	695367
529	82434	695250
530	82586	695065
531	82741	694905
532	82897	694751
533	83054	694607
534	83222	694558
535	83413	694695
536	83590	694719
537	83679	694013
538	83840	693899
539	83997	693760
540	84160	693663
541	84318	693529
542	84485	693467
543	84657	693448
544	84821	693354
545	84982	693248
546	85140	693106
547	85170	691933
548	85326	691780
549	85481	691624
550	85639	691489
551	85796	691348
552	85948	691162
553	86103	691000
554	86257	690836
555	86274	689575
556	86427	689402
557	86583	689255
558	86739	689108
559	86898	688977
560	87049	688792
561	87200	688605
562	87354	688440
563	87519	688358
564	87667	688149
565	87823	688000
566	87993	687965
567	88144	687777
568	88298	687609
569	88451	687442
570	88606	687286
571	88763	687142
572	88922	687012
573	89077	686860
574	89228	686672
575	89379	686483
576	89532	686315
577	89684	686134
578	89838	685967
579	89993	685813
580	90151	685682
581	90308	685539
582	90459	685351
583	90610	685163
584	90764	685003
585	90919	684844
586	91077	684712
587	91233	684557
588	91385	684380
589	91542	684240
590	91693	684055
591	91846	683880
592	91998	683706
593	92151	683530
594	92304	683365
595	92467	683263
596	92615	683062
597	92768	682891
598	92922	682726
599	93077	682571
600	93235	682430
